code_dpt,dpt,code_circ,circ,code_commune,commune,code_b_vote,cp,id_b_vote,inscrits,abstentions,p_abs/ins,votants,p_vot/ins,blancs,p_blancs/ins,p_blancs/vot,nuls,p_nuls/ins,p_nuls/vot,exprimés,p_exp/ins,p_exp/vot,n_panneau,sexe,nom,prenom,nuance,voix,p_voix/ins,p_voix/exp
84,Vaucluse,5,5ème circonscription,3,Apt,9,84003,Apt-9,792,372,46.97,420,53.03,7,0.88,1.67,4,0.51,0.95,409,51.64,97.38,-,-,blancs,-,-,7.0,0.88,1.67
84,Vaucluse,5,5ème circonscription,3,Apt,9,84003,Apt-9,792,372,46.97,420,53.03,7,0.88,1.67,4,0.51,0.95,409,51.64,97.38,-,-,nuls,-,-,4.0,0.51,0.95
84,Vaucluse,5,5ème circonscription,4,Aubignan,1,84004,Aubignan-1,1069,559,52.29,510,47.71,5,0.47,0.98,1,0.09,0.2,504,47.15,98.82,-,-,abstention,-,-,559.0,52.29,0.0
84,Vaucluse,5,5ème circonscription,4,Aubignan,1,84004,Aubignan-1,1069,559,52.29,510,47.71,5,0.47,0.98,1,0.09,0.2,504,47.15,98.82,-,-,blancs,-,-,5.0,0.47,0.98
84,Vaucluse,5,5ème circonscription,4,Aubignan,1,84004,Aubignan-1,1069,559,52.29,510,47.71,5,0.47,0.98,1,0.09,0.2,504,47.15,98.82,-,-,nuls,-,-,1.0,0.09,0.2
84,Vaucluse,5,5ème circonscription,4,Aubignan,2,84004,Aubignan-2,970,547,56.39,423,43.61,11,1.13,2.6,1,0.1,0.24,411,42.37,97.16,-,-,abstention,-,-,547.0,56.39,0.0
84,Vaucluse,5,5ème circonscription,4,Aubignan,2,84004,Aubignan-2,970,547,56.39,423,43.61,11,1.13,2.6,1,0.1,0.24,411,42.37,97.16,-,-,blancs,-,-,11.0,1.13,2.6
84,Vaucluse,5,5ème circonscription,4,Aubignan,2,84004,Aubignan-2,970,547,56.39,423,43.61,11,1.13,2.6,1,0.1,0.24,411,42.37,97.16,-,-,nuls,-,-,1.0,0.1,0.24
84,Vaucluse,5,5ème circonscription,4,Aubignan,3,84004,Aubignan-3,937,507,54.11,430,45.89,1,0.11,0.23,13,1.39,3.02,416,44.4,96.74,-,-,abstention,-,-,507.0,54.11,0.0
84,Vaucluse,5,5ème circonscription,4,Aubignan,3,84004,Aubignan-3,937,507,54.11,430,45.89,1,0.11,0.23,13,1.39,3.02,416,44.4,96.74,-,-,blancs,-,-,1.0,0.11,0.23
84,Vaucluse,5,5ème circonscription,4,Aubignan,3,84004,Aubignan-3,937,507,54.11,430,45.89,1,0.11,0.23,13,1.39,3.02,416,44.4,96.74,-,-,nuls,-,-,13.0,1.39,3.02
