CODGEO;SNHM19;SNHMC19;SNHMP19;SNHME19;SNHMO19;SNHMF19;SNHMFC19;SNHMFP19;SNHMFE19;SNHMFO19;SNHMH19;SNHMHC19;SNHMHP19;SNHMHE19;SNHMHO19;SNHM1819;SNHM2619;SNHM5019;SNHMF1819;SNHMF2619;SNHMF5019;SNHMH1819;SNHMH2619;SNHMH5019
011;14.6741196135567;25.0073471898512;15.7265160504194;11.2600145348405;12.0278754383886;12.9797554070711;21.7585881887487;14.2196306143451;10.9961863957337;10.7561595691183;15.8395430336882;26.4991921879581;16.8323198927963;12.0831371289169;12.3967534506847;10.2926792111315;14.7079532778388;16.4332636942642;9.88233742054056;13.1772902233622;13.7677210209685;10.5707655370209;15.7493768257099;18.3285606198859
012;14.9631006174218;25.4357442713764;15.5739862114601;11.4405656772105;11.9686226885881;13.2894129636291;22.1040394973636;14.2727975695265;11.1707118221465;10.5368430161038;16.1547267114668;26.9895540310479;16.6712944890868;12.2799771161229;12.2847416863374;10.3441008163991;14.8982338543617;17.0578565779982;9.81808331400031;13.4194907659085;14.4179498239506;10.718245832888;15.9377168503851;18.9961172564173
013;14.2116224548126;27.6378724555187;14.9550711928415;11.1105076283605;12.1487666146472;13.1108496373249;24.4708865804037;14.1984159365837;11.0846353518207;10.3662490763349;15.1627472783625;29.532804619793;15.87523584177;11.1529646482368;12.4300718185544;10.2000686478823;14.325667792001;16.6209668312098;9.95163814341375;13.3254942908429;14.7512961593894;10.4289891555724;15.1843630697868;18.1954126237252
014;13.6271881769359;24.2616669145312;15.1943845951223;11.190374024307;11.6747668194813;12.1506285229281;21.2819129947763;13.5505946006554;11.0417387364079;10.4294841245179;14.6374109133566;25.5525150587089;16.2803073623216;11.6507058970595;12.14209253144;10.352202609292;13.5397764610103;15.204799393059;9.94663041570963;12.1353266066579;13.0884886773486;10.6180588756624;14.5046934879684;16.6656025333677
021;13.9088047581136;23.6886022568274;15.6540752435345;11.2226306460609;12.1654982404771;12.6322173788453;21.1797611995846;14.4239230694351;10.9981767015441;10.8142347210793;14.7141432137022;24.8150343845458;16.5779289424538;11.6953474235835;12.500880608399;10.1935906762561;13.7085759265751;15.7750362708213;9.79704784812496;12.4950437642295;14.1397373978606;10.4837599051589;14.4660562329005;16.7765394483668
022;13.2142529479276;22.9533552244588;15.2465515954012;10.8740508891705;11.6425869656384;11.963733740144;19.9896908528043;13.8416640587365;10.628045624644;10.0436733439313;13.8977952764895;24.2077426273566;16.1399464565583;11.3970935755872;11.926621816804;10.0097440914999;13.0652342899434;14.8681246953723;9.6620382165926;11.9246216722783;13.1011681435426;10.2350812667948;13.6799608208457;15.8029999936584
023;13.5354484812488;24.2260304614883;15.2308062514267;10.7207141001519;11.8829518761833;12.2337828609841;21.2234825197632;13.9835501577728;10.5098389999958;10.5891031169029;14.3043558473878;25.5515275275778;16.1355313619244;11.1813063122868;12.1315554787861;10.0213432992279;13.3753151662003;15.3509175633395;9.63992070117653;12.2465782057649;13.3510368804995;10.2879151731867;14.0215961894232;16.5431416089917
024;13.8391207455536;24.6153536925591;15.5681210888105;11.040706167581;12.0458980325753;12.3220841241565;21.0202674236182;14.1424692870623;10.7710628776241;10.3670183886734;14.7566508305178;26.2384403890382;16.5607633798611;11.6724057218851;12.4101549917906;10.2349851839852;13.621711895123;15.7141435417772;9.80776402614437;12.3006202970843;13.4397677970673;10.5380191966862;14.4108746744104;17.0463601485642
025;12.8372713101876;22.2377240719913;14.9246221068619;10.6651746500245;12.041746577608;11.7790971848168;19.6685837957756;13.4332332184975;10.4970079303652;11.1808629258189;13.371665427291;23.3876134407113;15.9292050177225;11.0844218574797;12.2045979495844;10.3120501246677;12.8397351275537;13.7891884040429;9.74624876735655;11.815300467061;12.5051715102215;10.6332365259308;13.3376379344458;14.467598832992
031;12.989372882487;22.7921541965129;14.784385434735;10.5284573324072;11.5251949529301;11.7445901730007;19.3784280971608;13.6778268308827;10.3264829584289;10.3373984089847;13.8244852847879;24.4347624511573;15.5420183946747;11.1112075511148;11.7546278025738;10.0788811267666;12.8259343299064;14.4736917660134;9.65214501536258;11.7403899459335;12.5682007887859;10.374028040599;13.5428207664833;15.7811041660788
032;12.9973955394885;22.4626274280702;14.6128687708781;10.7153377209841;11.7262961014483;12.1206481693233;20.3569658293138;13.675474461846;10.5560799039281;11.301952540761;13.6134463914303;23.6137721270076;15.3527692887817;11.1774163426089;11.8167479084277;10.0501688523574;12.7811289778154;14.7227150383799;9.78885053139239;11.9733172110165;13.4188310761909;10.2420894479765;13.3327560670107;15.680629448567
033;13.340915482027;24.3659176401992;15.1332557479652;10.6353834066848;11.509614653733;12.1344440592654;21.1966227235982;14.1068405440342;10.4351115011;10.8050038033072;14.1981224883316;25.8829869704594;15.888343618432;11.1423941673649;11.7075236423858;9.92298351819997;13.0980974340456;15.2106216008259;9.59979681545044;12.0153226832728;13.3550256443757;10.1535729110912;13.8516332503156;16.5878995251818
041;12.3770471286045;21.2445966742789;13.6504054150526;10.4054469633051;11.2050314976166;11.2871372073079;15.8842912134108;12.8320282022804;10.3694277456647;9.96817248225307;13.2947117230184;24.0134855564523;14.54160116699;10.4770532014295;11.4057049396411;9.7259377534713;12.3238397926367;13.5694340744009;9.45711371921022;11.1809355812568;12.189328850755;9.9054899749464;13.3521438643065;14.6820545025592
