CODGEO,SNHM19,SNHMC19,SNHMP19,SNHME19,SNHMO19,SNHMF19,SNHMFC19,SNHMFP19,SNHMFE19,SNHMFO19,SNHMH19,SNHMHC19,SNHMHP19,SNHMHE19,SNHMHO19,SNHM1819,SNHM2619,SNHM5019,SNHMF1819,SNHMF2619,SNHMF5019,SNHMH1819,SNHMH2619,SNHMH5019
001,19.5601240006403,31.3678715959691,16.8507400513025,12.0144893302571,11.9827716132821,17.8716876330322,27.495685518326,16.0066761163744,12.0057624750341,10.6419873284924,20.7919028011847,34.0140273786196,17.6446775809112,12.0273660767618,12.2404699581324,11.2059704489014,19.1298748446027,23.9175417997441,10.885816925575,18.0138257784143,20.5013185959786,11.4905363457765,19.9318991611658,26.324500611524
002,16.6108562781664,26.5214784743984,15.8242510425352,11.5556858616571,11.8942500116014,14.7867788902246,23.2564385115395,14.6815606283508,11.3844826701678,10.6296423913468,17.9150861564096,28.2670715027037,16.8085939700986,11.9118179290707,12.1584409341223,10.7192895081739,16.4845581680819,19.9824570214557,10.0689365660272,15.103631617251,16.4622330627083,11.2419477950395,17.449316727148,22.5145062239681
003,15.853896714588,26.2227986998987,16.0052552259022,11.2501658027895,11.9361612436077,14.0340922747697,22.7733407919137,14.5275930400912,11.0679182522985,10.1244313437226,17.1702264059517,28.0530726247469,17.3254573461181,11.5812129972928,12.2531335597579,10.4125655256172,15.6221323847352,18.6255486470343,9.96816258864882,14.1664755805683,15.5092971025823,10.7872425842957,16.6561756367399,20.8407331117097
004,15.4266225395251,24.8997116961276,15.0211894475647,11.0730053776945,11.180751668581,13.9033375324616,21.910240521229,13.9461338387628,10.8797504291987,9.78840781037292,16.4941168652987,26.5134697991565,16.0174051900993,11.4173065070446,11.4507533863549,10.5574776909252,15.3716955727295,18.0888351742488,10.0071649697792,14.1701406721972,15.2934394574849,11.0058677815332,16.205129984778,19.9587867291919
005,16.5397902142501,25.2482565095719,15.378040958434,11.1949003530882,11.7690939170438,14.4934040750207,22.2764605787735,14.1856429498944,11.0496221418985,10.3340439834451,17.9347438109571,26.6619407143975,16.3607105630246,11.5115432460677,12.0238231752389,10.4792192738135,16.1752525862194,20.4158897176944,9.93107045210046,14.576852233043,16.518059385562,10.8923332938107,17.2502774649105,23.0506443807793
006,15.5005499125847,25.2867787410423,15.2996776905717,11.2734375016827,11.7237277077533,13.8144356772183,21.9928195713519,14.2799759168439,11.088385739554,10.2838592354088,16.7780121829098,27.0103497524075,16.2536649436843,11.6810862105238,11.9819069399436,10.2697994404927,15.3665483823935,18.5175851346843,9.90408709533325,13.9520930348661,15.465171213151,10.5715893182492,16.4230471916275,20.828127995831
008,15.5958757539729,24.3322137296755,15.0058569206705,11.2841885175951,11.6045189621561,13.7963952988781,21.3610674163481,13.9704124970286,11.1081390908029,10.3177653132171,16.8900196519759,25.754142474084,15.8808139666101,11.7026777969798,11.8899450761242,10.3327094363924,15.6122878315261,18.4909305244508,9.92224497645906,14.0726741360721,15.1694695850017,10.6541685574849,16.6948143278337,20.9403625711437
010,15.1373708704208,25.1855134339501,15.4923496561191,11.1423747361018,12.0077327374346,13.5789918893962,22.2629857381382,14.3499486674523,10.9982726815088,10.7182611523841,16.2806433052314,26.7089909454497,16.5238924847559,11.4695346684549,12.3034582584714,10.2861503126812,14.8825930551018,17.9717516588097,9.86929273819736,13.6480365320107,15.1378217775561,10.622001411669,15.7649812772632,20.1027236819978
012,14.9640591499221,24.4227595021896,15.1416271991251,11.0004580087525,11.2477274238702,13.5200667427316,21.479789916287,14.0633758094828,10.8223218433988,10.0213519686865,16.0476210645651,26.0210863422769,16.1466904564239,11.3326196336315,11.4459359410043,10.0972923840637,14.7846367636259,17.800130187835,9.76069890950775,13.6138800911363,15.1762157716982,10.3870366857005,15.6353997993217,19.8179641720705
013,15.0734230600531,24.3409505464579,14.7906481173728,11.1365398588589,11.5063183534481,13.5358804884055,21.4878710644527,13.9809136561653,10.9812205901658,10.4609165687874,16.1450396310133,25.6883742862962,15.4795078455836,11.4991357884889,11.740602609773,10.1782784727485,15.0489190095052,17.8495275078513,9.84674611876365,13.7554877770759,14.9651430449918,10.4211174354969,15.9412925590349,19.8664984194912
