CODGEO;SNHM19;SNHMC19;SNHMP19;SNHME19;SNHMO19;SNHMF19;SNHMFC19;SNHMFP19;SNHMFE19;SNHMFO19;SNHMH19;SNHMHC19;SNHMHP19;SNHMHE19;SNHMHO19;SNHM1819;SNHM2619;SNHM5019;SNHMF1819;SNHMF2619;SNHMF5019;SNHMH1819;SNHMH2619;SNHMH5019
01;14.6570229627526;25.319887312681;15.5317771052947;11.3419515469029;11.9281510787151;13.0440694256039;22.075824193883;14.1746895296058;11.113294512777;10.5561945158104;15.8023000449807;26.8338568789919;16.6252326920412;12.0053897356736;12.2874728408852;10.3249562036716;14.6244630709919;16.6087885161802;9.861072093152;13.1747509309214;14.093497823017;10.6537058612481;15.6442359810382;18.4367082129828
02;13.4905125349157;23.7635445629;15.344498541774;10.9072834458772;11.9126473112789;12.1958948047631;20.7417549936199;13.9960138246849;10.6744367352397;10.5130599343192;14.2372947590571;25.0957152116407;16.2749398359237;11.4236376786252;12.193226569829;10.1237431990757;13.331644521705;15.1875903772828;9.71929220050481;12.1655625558;13.3363197037339;10.3969551293351;13.9910394115404;16.2414600848757
03;13.1239077124887;23.340957341506;14.8584668084949;10.62652297448;11.5827152975374;12.0094641885839;20.410012366146;13.8308104531655;10.438576411279;10.8277890236909;13.8988749353358;24.8029785243431;15.6115155906297;11.1433716186273;11.7574075028338;10.0121219679732;12.914569139897;14.8271691447742;9.67749546319862;11.9169935078815;13.1308964133636;10.2508050144977;13.5934643015481;16.0513159655771
04;13.5921113834959;23.0909559984362;15.0595235030281;10.7243589610648;11.5225580522525;12.2591212828577;20.6273204660378;13.5949496004067;10.5141727039865;9.94909408139973;14.5625427555787;24.3466837456031;16.2570350723558;11.1901053950943;11.8198365104117;9.81216206817589;13.3023151947479;15.6344479740314;9.56128425023282;12.1657287391055;13.4513849015229;10.0021080140727;14.0998272450392;17.3268244091692
05;12.940012872305;21.6206288800456;14.5461599893458;10.7533490313591;11.5131625382955;12.0001757787983;19.7679638273198;13.5377074210606;10.5863147070872;9.54563474227486;13.6589332263753;22.6708565058161;15.5126108259848;11.0983222265855;11.7964943204658;9.81435206962009;12.6973704642363;14.7798080412152;9.51740333404221;11.8199259419043;13.3705401401024;10.0379276251794;13.3519899132543;15.926695971616
06;15.4859395700169;26.757142616657;15.8089382470029;11.474006495603;11.8731874839597;13.8928846396804;23.3042439255981;14.8571075710857;11.2842313363997;10.2426024630851;16.7611325925993;28.6478192241555;16.7868293141032;11.8113153321657;12.1836189432504;10.4998336845397;15.2404130027592;18.0389273786141;10.0372473442059;13.9444613405235;15.3509375064662;10.8978932022784;16.2498112363926;20.2637776034625
07;13.6398154599465;23.9041666051728;15.1023436863826;10.8250125926084;11.7112189802234;12.2138525079818;20.4176339823641;13.6854708204475;10.6120180255471;10.7142276598812;14.5958754683848;25.4323999680115;16.1488455233421;11.3565493214265;11.9415641385283;10.0215541933278;13.4422956332527;15.4988929178637;9.68281848960369;12.202486163431;13.1911928223848;10.2405045350365;14.2635232040967;17.1104194449984
08;13.4363808013479;23.4883738951392;15.1095866057224;10.6698379045861;12.059323306754;12.0711090591014;20.3320836834947;13.7995077786283;10.4639016544756;10.9150438154231;14.224315010095;24.8553596115259;15.9950568926934;11.276325476956;12.2509934316189;10.0594301169194;13.3390062716298;14.8478264364615;9.58652010503072;12.1578431501039;12.8075752501343;10.357257624756;14.0171630533965;16.0027334651715
09;13.0117296113229;22.4622429066353;14.7021638320378;10.4543768233205;11.611991938063;11.7100065281748;19.2072902342845;13.3774559800872;10.3379443543613;10.1737870761072;13.8839376464521;23.9441222322337;15.7180548906977;10.7488890505896;11.858555368268;9.83830558034362;12.7782279709367;14.6714792583631;9.55266365459303;11.629040496478;12.6303762622507;10.0235991641858;13.5380721207015;16.0954784385437
10;13.3958594073089;23.8163244112901;14.8934367214434;10.7101344130476;11.3987156171431;12.1743719618372;20.7553915573523;13.7393275268891;10.5422959117012;10.0811914489733;14.2575168007224;25.3959032185307;15.8220879372703;11.1312930920156;11.7012649043178;9.96891993468972;13.38483242865;14.8713795402605;9.62581995232778;12.2739062023404;13.0613656893385;10.2361373585942;14.1432661925468;16.1952262469408
