Code du département;Département;Code de la circonscription;Circonscription;Code de la commune;Commune;Bureau de vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Insee;Coordonnées;Nom Bureau Vote;Adresse;Code Postal;Ville;uniq_bdv
84;Vaucluse;05;5ème circonscription;089;Pertuis;0002;971;519;53.45;452;46.55;9;0.93;1.99;2;0.21;0.44;441;45.42;97.57;7;M;REYNARD;Luc;RDG;13;1.34;2.95;84089;43.692084,5.500762;Ecole primaire Albert Camus;Rue Giraud;84120;Pertuis;Ecole primaire Albert Camus -  Pertuis
84;Vaucluse;05;5ème circonscription;123;Sault;0002;102;42;41.18;60;58.82;0;0.0;0.0;1;0.98;1.67;59;57.84;98.33;2;M;AUBERT;Julien;LR;14;13.73;23.73;84123;44.089267,5.417603;Hameau de Saint Jean(encienne ecole);Hameau de Saint Jean;84390;Sault;Hameau de Saint Jean(encienne ecole) -  Sault
84;Vaucluse;05;5ème circonscription;123;Sault;0002;102;42;41.18;60;58.82;0;0.0;0.0;1;0.98;1.67;59;57.84;98.33;13;F;MOREL;Véronique;DIV;0;0.0;0.0;84123;44.089267,5.417603;Hameau de Saint Jean(encienne ecole);Hameau de Saint Jean;84390;Sault;Hameau de Saint Jean(encienne ecole) -  Sault
84;Vaucluse;05;5ème circonscription;118;Saint-Saturnin-lès-Apt;0001;700;295;42.14;405;57.86;4;0.5700000000000001;0.99;0;0.0;0.0;401;57.29;99.01;11;M;VIARD;Jean;REM;180;25.71;44.89;84118;43.943996,5.383472;Mairie;9 place de la mairie;84490;Saint-Saturnin-lès-Apt;Mairie -  Saint-Saturnin-lès-Apt
84;Vaucluse;05;5ème circonscription;002;Ansouis;0001;880;419;47.61;461;52.39;1;0.11;0.22;14;1.589999999999999;3.04;446;50.68;96.75;5;M;LECELLIER;Cédric;DVG;3;0.34;0.67;84002;43.737849,5.464846;Mairie - salle du conseil municipal;Place Saint Elzéar;84240;Ansouis;Mairie - salle du conseil municipal -  Ansouis
84;Vaucluse;05;5ème circonscription;031;Carpentras;0007;950;638;67.16;312;32.84;7;0.74;2.24;4;0.42;1.28;301;31.68;96.47;8;M;CHOTARD;Stéphane;FI;50;5.26;16.61;84031;44.064979,5.052566;Restaurant scolaire;Rue André de Richaud;84200;Carpentras;Restaurant scolaire -  Carpentras
84;Vaucluse;05;5ème circonscription;089;Pertuis;0011;1038;594;57.23;444;42.77;3;0.29;0.68;5;0.48;1.13;436;42.0;98.2;10;F;KADLER;Marie-Christine;ECO;12;1.16;2.75;84089;43.690013,5.504403;Ecole maternelle Saint Roch;Rue de Saint Roch;84120;Pertuis;Ecole maternelle Saint Roch -  Pertuis
84;Vaucluse;05;5ème circonscription;070;Malemort-du-Comtat;0001;1188;619;52.1;569;47.9;9;0.76;1.58;2;0.17;0.35000000000000003;558;46.97;98.07;9;F;DAURES;Anne;ECO;6;0.51;1.08;84070;44.021803,5.157763;Hôtel de ville;52 avenue du Docteur Tondut;84570;Malemort-du-Comtat;Hôtel de ville -  Malemort-du-Comtat
84;Vaucluse;05;5ème circonscription;090;Peypin-d'Aigues;0001;572;271;47.38;301;52.62;6;1.05;1.99;6;1.05;1.99;289;50.52;96.01;4;F;KRAFT;Sandrine;DVD;1;0.17;0.35000000000000003;84090;43.787393,5.569071;Mairie;Grand'rue;84240;Peypin-d'Aigues;Mairie -  Peypin-d'Aigues
84;Vaucluse;05;5ème circonscription;067;Loriol-du-Comtat;0001;979;517;52.81;462;47.19;5;0.51;1.08;4;0.41000000000000003;0.87;453;46.27;98.05;3;F;THOMAS DE MALEVILLE;Marie;FN;116;11.85;25.61;84067;44.07664,5.001173;Salle des fêtes;Le Village;84870;Loriol-du-Comtat;Salle des fêtes -  Loriol-du-Comtat
84;Vaucluse;05;5ème circonscription;109;Saint-Hippolyte-le-Graveyron;0001;170;53;31.18;117;68.82;1;0.59;0.85;2;1.18;1.71;114;67.06;97.44;6;M;PIERINI;Lucien;EXG;1;0.59;0.88;84109;44.122694,5.074621;Mairie;1,route de Caromb;84330;Saint-Hippolyte-le-Graveyron;Mairie -  Saint-Hippolyte-le-Graveyron
84;Vaucluse;05;5ème circonscription;003;Apt;0007;871;476;54.65;395;45.35;4;0.46;1.01;4;0.46;1.01;387;44.43;97.97;7;M;REYNARD;Luc;RDG;2;0.23;0.52;84003;43.875999,5.394814;Salle des fêtes -entrée no3- a Gauche;Place Gabriel Péri;84400;Apt;Salle des fêtes -entrée no3- a Gauche -  Apt
84;Vaucluse;05;5ème circonscription;051;Goult;0001;933;371;39.76;562;60.24;16;1.71;2.85;3;0.32;0.53;543;58.2;96.62;12;F;FOREST;Nathalie;DLF;7;0.75;1.29;84051;43.862024,5.246074;Mairie;31 ,Place Jean Moulin;84220;Goult;Mairie -  Goult
84;Vaucluse;05;5ème circonscription;089;Pertuis;0007;923;491;53.2;432;46.8;6;0.65;1.3900000000000001;3;0.33;0.6900000000000001;423;45.83;97.92;9;F;DAURES;Anne;ECO;6;0.65;1.42;84089;43.691723,5.5087340000000005;Ecole Primaire La Burlière;Rue Didier Daurat;84120;Pertuis;Ecole Primaire La Burlière -  Pertuis
84;Vaucluse;05;5ème circonscription;014;Beaumont-de-Pertuis;0001;883;425;48.13;458;51.87;9;1.02;1.97;3;0.34;0.66;446;50.51;97.38;2;M;AUBERT;Julien;LR;74;8.38;16.59;84014;43.737113,5.693348;Mairie - salle des cérémonies;Avenue de Verdun;84120;Beaumont-de-Pertuis;Mairie - salle des cérémonies -  Beaumont-de-Pertuis
84;Vaucluse;05;5ème circonscription;084;La Motte-d'Aigues;0001;1058;496;46.88;562;53.12;7;0.66;1.25;3;0.28;0.53;552;52.17;98.22;13;F;MOREL;Véronique;DIV;7;0.66;1.27;84084;;Mairie;Parc Sosthène et Irma Reybaud;84240;La Motte-d'Aigues;Mairie -  La Motte-d'Aigues
84;Vaucluse;05;5ème circonscription;031;Carpentras;0004;1155;584;50.56;571;49.44;7;0.61;1.23;5;0.43;0.88;559;48.4;97.9;2;M;AUBERT;Julien;LR;115;9.96;20.57;84031;44.070776,5.05622;Salle polyvalente de Serres;Avenue Saint Roch;84200;Carpentras;Salle polyvalente de Serres -  Carpentras
84;Vaucluse;05;5ème circonscription;082;Mormoiron;0001;662;259;39.12;403;60.88;4;0.6000000000000001;0.99;3;0.45;0.74;396;59.82;98.26;3;F;THOMAS DE MALEVILLE;Marie;FN;69;10.42;17.42;84082;44.06764,5.182222;Bâtiment le Clos;66,Place du Clos;84570;Mormoiron;Bâtiment le Clos -  Mormoiron
84;Vaucluse;05;5ème circonscription;089;Pertuis;0005;976;498;51.02;478;48.98;8;0.8200000000000001;1.67;4;0.41000000000000003;0.84;466;47.75;97.49;12;F;FOREST;Nathalie;DLF;10;1.02;2.15;84089;43.695607,5.495982;Ecole Primaire Henri Crevat;Boulevard Jean Guigues;84120;Pertuis;Ecole Primaire Henri Crevat -  Pertuis
84;Vaucluse;05;5ème circonscription;077;Modène;0001;345;138;40.0;207;60.0;3;0.87;1.45;0;0.0;0.0;204;59.13;98.55;9;F;DAURES;Anne;ECO;6;1.74;2.94;84077;44.10328,5.122992;la cure;Rue Sainte Catherine;84330;Modène;la cure -  Modène
84;Vaucluse;05;5ème circonscription;004;Aubignan;0004;1060;553;52.17;507;47.83;11;1.04;2.17;2;0.19;0.39;494;46.6;97.44;12;F;FOREST;Nathalie;DLF;9;0.85;1.82;84004;44.099223,5.015339;Salle polyvalente;225 Avenue Jean Henri Fabre;84810;Aubignan;Salle polyvalente -  Aubignan
84;Vaucluse;05;5ème circonscription;047;Gargas;0002;1140;549;48.16;591;51.84;9;0.79;1.52;3;0.26;0.51;579;50.79;97.97;11;M;VIARD;Jean;REM;163;14.3;28.15;84047;43.901763,5.358324;Salle polyvalente;94 Rue du Stade;84400;Gargas;Salle polyvalente -  Gargas
84;Vaucluse;05;5ème circonscription;089;Pertuis;0008;910;492;54.07;418;45.93;9;0.99;2.15;1;0.11;0.24;408;44.84;97.61;2;M;AUBERT;Julien;LR;73;8.02;17.89;84089;43.691723,5.5087340000000005;Ecole Primaire La Burlière;Rue Didier Daurat;84120;Pertuis;Ecole Primaire La Burlière -  Pertuis
84;Vaucluse;05;5ème circonscription;013;Beaumettes;0001;216;79;36.57;137;63.43;4;1.85;2.92;1;0.46;0.73;132;61.11;96.35;13;F;MOREL;Véronique;DIV;0;0.0;0.0;84013;43.862640999999996,5.194744;Mairie;Le Village;84220;Beaumettes;Mairie -  Beaumettes
84;Vaucluse;05;5ème circonscription;077;Modène;0001;345;138;40.0;207;60.0;3;0.87;1.45;0;0.0;0.0;204;59.13;98.55;6;M;PIERINI;Lucien;EXG;0;0.0;0.0;84077;44.10328,5.122992;la cure;Rue Sainte Catherine;84330;Modène;la cure -  Modène
84;Vaucluse;05;5ème circonscription;079;Monieux;0001;264;86;32.58;178;67.42;1;0.38;0.56;2;0.76;1.12;175;66.29;98.31;2;M;AUBERT;Julien;LR;30;11.36;17.14;84079;44.045628,5.348606;Mairie;Place Jean Galbert;84390;Monieux;Mairie -  Monieux
84;Vaucluse;05;5ème circonscription;046;Flassan;0001;363;128;35.26;235;64.74;3;0.8300000000000001;1.28;3;0.8300000000000001;1.28;229;63.09;97.45;12;F;FOREST;Nathalie;DLF;1;0.28;0.44;84046;44.099112,5.241669;Ecole;103,Le nouveau cours;84410;Flassan;Ecole -  Flassan
84;Vaucluse;05;5ème circonscription;014;Beaumont-de-Pertuis;0001;883;425;48.13;458;51.87;9;1.02;1.97;3;0.34;0.66;446;50.51;97.38;12;F;FOREST;Nathalie;DLF;8;0.91;1.79;84014;43.737113,5.693348;Mairie - salle des cérémonies;Avenue de Verdun;84120;Beaumont-de-Pertuis;Mairie - salle des cérémonies -  Beaumont-de-Pertuis
84;Vaucluse;05;5ème circonscription;003;Apt;0006;813;398;48.95;415;51.05;7;0.86;1.69;0;0.0;0.0;408;50.18;98.31;1;M;CHALENÇON;Christophe;DVD;2;0.25;0.49;84003;43.874984,5.395975;Ecole maternelle La Ruche- Salle de Jeux - entrée gauche;Rue Gambetta;84400;Apt;Ecole maternelle La Ruche- Salle de Jeux - entrée gauche -  Apt
84;Vaucluse;05;5ème circonscription;122;Sarrians;0003;938;476;50.75;462;49.25;16;1.71;3.46;5;0.53;1.08;441;47.01;95.45;8;M;CHOTARD;Stéphane;FI;44;4.69;9.98;84122;44.08009,4.976618;Salle des Fêtes frédéric Mistral;178,Avenue de la Camargue;84260;Sarrians;Salle des Fêtes frédéric Mistral -  Sarrians
84;Vaucluse;05;5ème circonscription;031;Carpentras;0011;1002;616;61.48;386;38.52;6;0.6000000000000001;1.55;2;0.2;0.52;378;37.72;97.93;10;F;KADLER;Marie-Christine;ECO;7;0.7000000000000001;1.85;84031;44.055723,5.037289;Ecole Primaire La Quintine;Rue Pansier;84200;Carpentras;Ecole Primaire La Quintine -  Carpentras
84;Vaucluse;05;5ème circonscription;089;Pertuis;0013;1011;552;54.6;459;45.4;7;0.6900000000000001;1.53;3;0.30000000000000004;0.65;449;44.41;97.82;1;M;CHALENÇON;Christophe;DVD;3;0.30000000000000004;0.67;84089;43.695607,5.495982;Ecole Primaire Henri Crevat;Boulevard Jean Guigues;84120;Pertuis;Ecole Primaire Henri Crevat -  Pertuis
84;Vaucluse;05;5ème circonscription;089;Pertuis;0010;1136;721;63.47;415;36.53;5;0.44;1.2;2;0.18;0.48;408;35.92;98.31;7;M;REYNARD;Luc;RDG;3;0.26;0.74;84089;43.690013,5.504403;Ecole maternelle Saint Roch;Rue de Saint Roch;84120;Pertuis;Ecole maternelle Saint Roch -  Pertuis
84;Vaucluse;05;5ème circonscription;050;Gordes;0002;661;246;37.22;415;62.78;7;1.06;1.69;2;0.30000000000000004;0.48;406;61.42;97.83;3;F;THOMAS DE MALEVILLE;Marie;FN;66;9.98;16.26;84050;43.886911,5.169458;"Ecole maternelle ""la Borie""";Les Imberts;84220;Gordes;"Ecole maternelle ""la Borie"" -  Gordes"
84;Vaucluse;05;5ème circonscription;017;Bédoin;0002;884;330;37.33;554;62.67;4;0.45;0.72;5;0.5700000000000001;0.9;545;61.65;98.38;12;F;FOREST;Nathalie;DLF;8;0.9;1.47;84017;44.124824,5.214435;Centre culturel;100 Place de la Vigneronne;84410;Bédoin;Centre culturel -  Bédoin
84;Vaucluse;05;5ème circonscription;010;La Bastidonne;0001;647;298;46.06;349;53.94;1;0.15;0.29;1;0.15;0.29;347;53.63;99.43;13;F;MOREL;Véronique;DIV;1;0.15;0.29;84010;43.700244,5.567755;Salle des Ferrages( coté Mairie);Rue des Ferrages;84120;La Bastidonne;Salle des Ferrages( coté Mairie) -  La Bastidonne
84;Vaucluse;05;5ème circonscription;031;Carpentras;0001;620;406;65.48;214;34.52;3;0.48;1.4;5;0.81;2.34;206;33.23;96.26;3;F;THOMAS DE MALEVILLE;Marie;FN;42;6.77;20.39;84031;44.055484,5.048656;Hôtel de ville;Place Maurice Charretier;84200;Carpentras;Hôtel de ville -  Carpentras
84;Vaucluse;05;5ème circonscription;032;Caseneuve;0001;383;153;39.95;230;60.05;2;0.52;0.87;3;0.78;1.3;225;58.75;97.83;3;F;THOMAS DE MALEVILLE;Marie;FN;28;7.31;12.44;84032;43.886717,5.484857;Mairie;Place de la mairie;84750;Caseneuve;Mairie -  Caseneuve
84;Vaucluse;05;5ème circonscription;003;Apt;0002;826;452;54.72;374;45.28;6;0.73;1.6;1;0.12;0.27;367;44.43;98.13;6;M;PIERINI;Lucien;EXG;2;0.24;0.54;84003;43.875999,5.394814;Salle des fêtes- Entrée no2 a droite;Place Gabriel Péri;84400;Apt;Salle des fêtes- Entrée no2 a droite -  Apt
84;Vaucluse;05;5ème circonscription;076;Mirabeau;0001;1015;413;40.69;602;59.31;7;0.6900000000000001;1.16;3;0.30000000000000004;0.5;592;58.33;98.34;4;F;KRAFT;Sandrine;DVD;2;0.2;0.34;84076;43.705128,5.656601;Mairie - salle du conseil municipal;8,Rue de la Mairie;84120;Mirabeau;Mairie - salle du conseil municipal -  Mirabeau
84;Vaucluse;05;5ème circonscription;067;Loriol-du-Comtat;0001;979;517;52.81;462;47.19;5;0.51;1.08;4;0.41000000000000003;0.87;453;46.27;98.05;4;F;KRAFT;Sandrine;DVD;8;0.8200000000000001;1.77;84067;44.07664,5.001173;Salle des fêtes;Le Village;84870;Loriol-du-Comtat;Salle des fêtes -  Loriol-du-Comtat
84;Vaucluse;05;5ème circonscription;004;Aubignan;0002;970;547;56.39;423;43.61;11;1.13;2.6;1;0.1;0.24;411;42.37;97.16;4;F;KRAFT;Sandrine;DVD;3;0.31;0.73;84004;44.099223,5.015339;Salle polyvalente;225 Avenue Jean Henri Fabre;84810;Aubignan;Salle polyvalente -  Aubignan
84;Vaucluse;05;5ème circonscription;089;Pertuis;0005;976;498;51.02;478;48.98;8;0.8200000000000001;1.67;4;0.41000000000000003;0.84;466;47.75;97.49;8;M;CHOTARD;Stéphane;FI;57;5.84;12.23;84089;43.695607,5.495982;Ecole Primaire Henri Crevat;Boulevard Jean Guigues;84120;Pertuis;Ecole Primaire Henri Crevat -  Pertuis
